stars,days_inactive,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,log_active_contributors,log_pr_count_merged,log_stars,log_dependency_count,log_code_churn_normalized,log_pr_merge_time_median_h,log_issues_resolution_time_h,process_maturity,effort_distribution,ci_failure_rate,pr_per_contributor,exp_weighted_churn,contributor_productivity,review_effort_proxy
426197,36,75.2,9.941805555555554,21.301666666666662,423,0.2406,68,0.0,1,0.0,0,10.108,-0.021,0.0,0.31,0,0.0323,6.049733455231958,4.23410650459726,12.962659306003076,0.0,4.333361462692601,2.3925908250172374,3.1046614140888424,0.5,0.7594,1.0,0.16037735849056603,760.1216000000001,0.17735849056603775,0.0
385971,0,101.19,3.1675,50.11069444444445,430,0.2662,76,1.0,1,0.88,0,13.376,0.1084,0.0,0.13,0,0.0107,6.066108090103747,4.343805421853684,12.863520106955795,0.0,4.626833825624118,1.427316335642812,3.933993759939779,0.5,0.7338,0.12,0.17633410672853828,1353.5174399999999,0.23477958236658933,3.1675
343944,35,7.71,76.24027777777778,931.0930555555556,122,0.5486,63,2.0,0,0.0,0,12.837,-0.0035,0.0,0.41,0,0.0204,4.812184355372417,4.1588830833596715,12.74823703985184,0.0,2.1644717908644115,4.3469210538482255,6.8374326547181,0.0,0.4514,1.0,0.5121951219512195,98.97327,0.06268292682926829,152.48055555555555
294157,2,40.41,6.978055555555556,0.0,407,0.6492,92,1.0,1,0.94,0,14.623,4.028,0.0,0.5,17,0.4143,6.0112671744041615,4.532599493153256,12.591872316931099,2.8903717578961645,3.723522397557476,2.076694717053298,0.0,0.5,0.3508,0.06000000000000005,0.22549019607843138,590.9154299999999,0.09904411764705881,6.978055555555556
220135,10,56.77,7.246944444444445,0.0,450,0.1029,75,2.0,1,0.88,0,9.854,0.0804,0.0,0.28,136,0.0017,6.111467339502679,4.330733340286331,12.30200081615701,4.919980925828125,4.056469609793174,2.1098427613721737,0.0,0.5,0.8971,0.12,0.1662971175166297,559.41158,0.1258758314855876,14.49388888888889
183727,0,546.07,9.92625,6.4783333333333335,427,0.1386,40,2.0,1,0.82,0,8.114,2.5874,4.99,0.03,0,0.2948,6.059123195581797,3.713572066704308,12.12121168201597,0.0,6.304576764983967,2.3911681509125606,2.012009950759837,0.5,0.8613999999999999,0.18000000000000005,0.09345794392523364,4430.81198,1.2758644859813086,19.8525
162574,53,455.01,2.154861111111111,27.544444444444444,428,0.4948,66,1.0,1,0.38,1,9.612,0.0,42.4,0.58,7,0.1254,6.061456918928017,4.204692619390966,11.998894712737352,2.0794415416798357,6.122514739098492,1.148944473189357,3.3514623267796186,1.0,0.5052,0.62,0.15384615384615385,4373.55612,1.0606293706293706,2.154861111111111
159869,0,523.71,22.592777777777776,34.76555555555556,437,0.0779,72,2.0,1,0.56,1,10.482,-1.8636,10.07,0.0,114,0.0007,6.082218910376446,4.290459441148391,11.982116263958938,4.74493212836325,6.26284572902068,3.160940638830592,3.576985294937692,1.0,0.9221,0.43999999999999995,0.1643835616438356,5489.52822,1.1956849315068494,45.18555555555555
158394,4,865.55,12.634166666666667,17.836666666666666,379,0.298,79,3.0,1,0.84,1,13.273,-0.9476,11.48,0.33,244,0.0013,5.940171252720432,4.382026634673881,11.972847192207691,5.501258210544727,6.764519810895385,2.6125788972069848,2.9358053249736424,1.0,0.702,0.16000000000000003,0.20789473684210527,11488.44515,2.2777631578947366,37.9025
152823,22,4.93,29.76763888888889,468.2741666666667,10,0.9462,16,1.0,0,0.0,0,11.699,0.0245,6.02,0.11,0,0.0,2.3978952727983707,2.833213344056216,11.937042211443488,0.0,1.780024213009634,3.4264634521969755,6.151187174762066,0.0,0.05379999999999996,1.0,1.4545454545454546,57.676069999999996,0.4481818181818182,29.76763888888889
147336,0,1181.84,1.571388888888889,32.35638888888889,318,0.4275,62,1.0,1,0.62,0,7.759,3.3462,7.56,0.07,1,0.4123,5.765191102784844,4.143134726391533,11.90047775895988,0.6931471805599453,7.075673605465348,0.9444461766230099,3.5072493248955006,0.5,0.5725,0.38,0.19435736677115986,9169.89656,3.7048275862068962,1.571388888888889
140136,63,256.03,25.635555555555555,19.63583333333333,387,0.3786,69,1.0,1,0.7568,1,13.927,0.0,34.55,0.07,0,0.0031,5.961005339623274,4.248495242049359,11.850375794531123,0.0,5.549192809600136,3.282246998253765,3.0270290468491745,1.0,0.6214,0.24319999999999997,0.17783505154639176,3565.7298099999994,0.6598711340206185,25.635555555555555
134778,0,671.52,4.0801388888888885,4.225833333333333,467,0.1294,52,1.0,1,0.72,0,10.619,-0.5629,0.93,0.02,0,0.0071,6.148468295917647,3.970291913552122,11.81139167897424,0.0,6.511031850810728,1.625338601549109,1.6536142747669291,0.5,0.8706,0.28,0.1111111111111111,7130.8708799999995,1.4348717948717948,4.0801388888888885
133858,0,1322.49,0.6883333333333334,45.025,388,0.7491,25,1.0,1,0.64,1,9.198,-1.7098,9.04,0.15,104,0.6465,5.963579343618446,3.258096538021482,11.80454228613517,4.653960350157523,7.188027465915151,0.523741849032537,3.8291847271191415,1.0,0.2509,0.36,0.06426735218508997,12164.26302,3.3997172236503856,0.6883333333333334
116410,3,45.71,18.595277777777778,68.4686111111111,75,0.3367,65,2.0,1,0.02,0,11.07,-0.0035,31.43,0.12,0,0.0033,4.330733340286331,4.189654742026425,11.664882311532681,0.0,3.8439582745140166,2.9752886075030323,4.240875011862227,0.5,0.6633,0.98,0.8552631578947368,506.0097,0.6014473684210526,37.190555555555555
114571,0,1571.41,13.282916666666669,2.537777777777778,376,0.6284,36,1.0,1,0.08,1,4.706,78.9266,1.58,0.0,15,0.1241,5.932245187448011,3.6109179126442243,11.648958725312072,2.772588722239781,7.360364753232393,2.659064184421594,1.263498783639963,1.0,0.37160000000000004,0.92,0.09549071618037135,7395.055460000001,4.168196286472149,13.282916666666669
