repo,code_churn_normalized,language_diversity,avg_file_size_loc,cyclomatic_complexity_avg,dependency_count,active_contributors,bus_factor_ratio,weighted_experience,pr_count_merged,pr_merge_time_median_h,comment_per_pr_avg,review_cycle_count,issues_resolution_time_h,commit_velocity_trend,weekend_commit_ratio,release_regularity,has_ci,has_tests,ci_success_rate,churn_hours,cycle_time_hours,cocomo_hours,effort_target,net_kloc,nb_jours_actifs
Techtonica/curriculum,1827.8382,0.3669,200.19,5.34,12,1,1.0,1.0,50,22.65,0.0,1.0,318.52,-0.5714,0.11,60.0,0,0,0.5,16572.4,22.65,104617.06,29216.41,208.596,136
rust-lang/crates.io-index,0.0,0.2358,200.26,4.29,0,1,1.0,2.386,1,0.07,0.0,1.0,72.0,0.0,1.0,60.0,1,0,0.85,0.0,0.07,20540.56,4108.13,44.257,1
preset-io/agor,31994.4571,0.0744,200.0,3.0,9,1,1.0,1.0,49,0.32,0.0,1.0,85.64,0.0,0.27,0.91,1,0,0.8904,74653.73,0.32,4243987.57,886124.48,7094.111,35
lustre/lustre-release,0.0,0.2383,200.0,4.31,12,76,0.1256,8.813,0,48.0,0.0,1.0,1039.81,-3.0857,0.145,60.0,0,0,0.5,0.0,3648.0,18793831.64,3759860.73,29266.165,1081
ruby-grape/grape,85.555,0.0009,200.03,2.41,0,1,1.0,1.0,34,17.93,0.0,1.0,98.92,-0.0123,0.425,60.0,1,1,0.9883,3216.87,17.93,585653.66,118744.54,1075.78,564
MCRcortex/voxy,219.7895,0.0382,200.03,2.71,0,1,1.0,1.0,6,20.04,0.0,1.0,2.97,0.9,0.27,60.0,1,0,1.0,1392.0,20.04,679613.75,136624.76,1239.56,95
iptv-ch/iptv-ch.github.io,100.1587,0.0,1.0,2.0,0,1,1.0,1.0,7,321.63,0.0,1.0,2174.4,-1.45,0.455,60.0,0,0,0.5,841.33,321.63,34.22,524.0,0.001,126
googleapis/google-api-php-client-services,36039.4815,0.0036,200.0,2.43,0,1,1.0,1.0,22,0.95,0.0,1.0,72.0,0.0,0.215,5.33,1,1,0.7301,64871.07,0.95,84705825.18,16973600.85,122779.473,27
googleapis/google-api-java-client-services,0.0,0.0004,200.0,2.4,53,10,0.9731,5.769,48,4.12,0.0,1.0,72.0,0.0,0.29,60.0,1,0,0.6344,0.0,41.2,955337163.61,191067445.08,1233849.904,23
aquaproj/aqua-registry,0.0,0.0046,200.0,2.44,0,41,0.7935,8.269,48,0.09,0.0,1.0,72.0,0.0,0.23,2.21,1,0,0.8163,0.0,3.69,2130107.59,426022.63,3679.436,3
