full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
public-apis/public-apis,https://github.com/public-apis/public-apis,Python,426197,2016-03-20T23:49:42Z,36,1,60.02,9.941805555555554,21.301666666666662,423,0.2406,68,0.0,1,0.0,1,0.0,0,10.108,-0.021,0.0,0.31,0,0.0323,0.0,3433,146461.3,102990.0,1716,6866.0,4205.4,451.05,72167.2,19128.1,79.6
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,Python,385971,2013-10-11T06:50:37Z,0,1,60.01,3.1675,50.11069444444445,430,0.2662,76,0.0,1,1.0,1,0.88,0,13.376,0.1084,0.0,0.13,0,0.0107,0.0,5793,618525.3,173790.0,2896,11586.0,1362.0,2047.09,327534.1,71708.4,82.3
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Python,343944,2017-02-26T16:15:28Z,35,1,60.19,76.24027777777778,931.0930555555556,122,0.5486,63,0.0,1,2.0,0,0.0,0,12.837,-0.0035,0.0,0.41,0,0.0204,0.0,319,329932.8,9570.0,159,638.0,9301.3,1058.18,169308.2,36971.0,56.4
vinta/awesome-python,https://github.com/vinta/awesome-python,Python,294157,2014-06-27T21:00:06Z,2,1,60.03,6.978055555555556,0.0,407,0.6492,92,0.0,1,1.0,1,0.94,0,14.623,4.028,0.0,0.5,17,0.4143,0.0,2181,160826.5,65430.0,1090,4362.0,2840.1,497.61,79617.2,18956.5,78.3
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,Python,220135,2016-07-16T09:44:01Z,10,1,60.02,7.246944444444445,0.0,450,0.1029,75,0.0,1,2.0,1,0.88,0,9.854,0.0804,0.0,0.28,136,0.0017,0.0,2527,485522.3,75810.0,1263,5054.0,3261.1,1587.56,254010.0,54307.3,83.1
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,Python,183727,2023-03-16T09:21:07Z,0,1,60.01,9.92625,6.4783333333333335,427,0.1386,40,0.0,1,2.0,1,0.82,0,8.114,2.5874,4.99,0.03,0,0.2948,0.0,7761,16285403.4,232830.0,3880,15522.0,4238.5,63474.56,10155929.4,2040218.4,83.6
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,162574,2022-08-22T14:05:26Z,53,1,60.01,2.154861111111111,27.544444444444444,428,0.4948,66,0.0,1,1.0,1,0.38,1,9.612,0.0,42.4,0.58,7,0.1254,0.0,7337,1069407.1,220110.0,3668,14674.0,922.3,3637.57,582011.3,124016.0,80.6
huggingface/transformers,https://github.com/huggingface/transformers,Python,159869,2018-10-29T13:56:00Z,0,1,60.0,22.592777777777776,34.76555555555556,437,0.0779,72,0.0,1,2.0,1,0.56,1,10.482,-1.8636,10.07,0.0,114,0.0007,0.0,17911,13749862.4,537330.0,8955,35822.0,9873.0,53140.36,8502458.0,1721364.5,89.2
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,Python,158394,2020-10-26T04:22:55Z,4,1,60.0,12.634166666666667,17.836666666666666,379,0.298,79,0.0,1,3.0,1,0.84,1,13.273,-0.9476,11.48,0.33,244,0.0013,0.0,21682,1769120.9,650460.0,10841,43364.0,4788.3,6171.02,987362.5,220591.0,86.7
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,Python,152823,2016-05-04T06:24:11Z,22,1,60.27,29.76763888888889,468.2741666666667,10,0.9462,16,0.0,1,1.0,0,0.0,0,11.699,0.0245,6.02,0.11,0,0.0,0.0,223,287831.8,6690.0,111,446.0,297.7,1100.24,176038.7,35520.1,44.5
