full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
avelino/awesome-go,https://github.com/avelino/awesome-go,Go,170874,2014-07-06T13:42:15Z,1,3,160.06,0.3088888888888889,33.933055555555555,431,0.0912,63,0.0,1,1.0,1,0.22,0,14.392,0.9965,0.0,0.23,0,0.0,0.0,2523,126150,201840,1261,13456.0,133.1,385.61,61696.8,19107.3,84.0
ollama/ollama,https://github.com/ollama/ollama,Go,169879,2023-06-26T19:39:32Z,0,3,160.0,1.4068055555555556,7.723333333333334,455,0.2498,74,0.0,1,1.0,1,0.46,0,13.896,-0.1573,1.8,0.07,0,0.3529,0.0,5160,258000,412800,2580,27520.0,640.1,817.36,130777.2,40107.5,82.5
golang/go,https://github.com/golang/go,Go,133626,2014-08-19T04:33:40Z,0,3,160.0,0.0,5.999861111111111,381,0.1284,0,0.0,1,0.0,1,0.087,1,14.207,0.3951,0.0,0.01,0,0.1005,0.0,58902,2945100,4712160,29451,314144.0,0.0,10538.2,1686111.4,494294.3,88.7
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go,121898,2014-06-06T22:56:04Z,0,3,160.0,2.3833333333333333,10.20111111111111,347,0.2948,71,0.0,1,4.0,1,0.62,1,11.096,-12.6014,10.48,0.0,0,0.025,0.0,90903,4545150,7272240,45451,484816.0,827.0,16620.22,2659235.8,774503.3,87.1
fatedier/frp,https://github.com/fatedier/frp,Go,106068,2015-12-21T15:24:59Z,10,3,160.11,0.4915277777777778,418.9313888888889,125,0.8394,38,0.0,1,1.0,1,0.98,1,11.873,-0.1434,24.43,0.26,0,0.1965,0.0,1407,70350,112560,703,7504.0,61.4,250.62,40099.6,11790.3,80.8
gin-gonic/gin,https://github.com/gin-gonic/gin,Go,88370,2014-06-16T23:57:25Z,1,3,160.09,30.020138888888887,742.5740277777777,439,0.2555,58,0.0,1,1.0,1,0.9,0,14.361,-0.4406,142.39,0.47,0,0.0045,0.0,1773,88650,141840,886,9456.0,13178.8,266.24,42598.5,17201.3,82.4
gohugoio/hugo,https://github.com/gohugoio/hugo,Go,87750,2013-07-04T15:26:26Z,0,3,160.02,14.227777777777778,11.524166666666666,416,0.6656,55,0.0,1,1.0,1,0.94,0,14.968,0.2483,10.39,0.19,0,0.0532,0.0,8553,427650,684240,4276,45616.0,5918.8,1389.49,222317.7,69047.2,78.3
syncthing/syncthing,https://github.com/syncthing/syncthing,Go,83039,2013-11-26T09:48:21Z,0,3,160.0,6.546944444444445,4.07,339,0.5757,57,0.0,1,1.0,1,0.9,1,15.049,0.1259,8.53,0.13,0,0.1547,0.0,7898,394900,631840,3949,42122.7,2219.4,1277.98,204476.2,62622.4,84.2
junegunn/fzf,https://github.com/junegunn/fzf,Go,79762,2013-10-23T16:04:23Z,3,3,160.05,3.3533333333333335,41.794444444444444,307,0.8381,60,0.0,1,2.0,1,0.44,1,14.657,0.0594,20.48,0.6,0,0.3427,0.0,3477,173850,278160,1738,18544.0,1029.5,648.0,103680.2,30316.9,81.4
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,Go,76969,2018-05-19T00:53:06Z,2,3,160.0,17.07,14.956944444444444,357,0.4618,70,0.0,1,3.0,1,0.12,1,12.626,1.8217,23.14,0.03,0,0.0045,0.0,6942,347100,555360,3471,37024.0,6094.0,1116.06,178570.0,56054.2,85.2
caddyserver/caddy,https://github.com/caddyserver/caddy,Go,71807,2015-01-13T19:45:03Z,0,3,160.0,7.679444444444444,28.53527777777778,366,0.4754,87,0.0,1,1.0,1,0.54,0,13.868,-0.7832,0.0,0.13,0,0.0206,0.0,2476,123800,198080,1238,13205.3,2810.7,378.07,60490.6,19544.0,80.2
moby/moby,https://github.com/moby/moby,Go,71487,2013-01-18T18:10:57Z,0,3,160.0,55.58861111111111,29.786944444444444,394,0.2627,67,0.0,1,1.0,1,0.38,0,14.322,1.3601,6.89,0.06,0,0.027,0.0,47112,2355600,3768960,23556,251264.0,21901.9,8335.24,1333637.6,398930.1,82.4
nektos/act,https://github.com/nektos/act,Go,70013,2019-01-02T19:53:43Z,6,3,160.21,10.982777777777779,40.78930555555556,199,0.3113,79,0.0,1,1.0,1,0.46,0,9.711,0.0455,16.14,0.25,0,0.1852,0.0,755,37750,60400,377,4026.7,2185.6,108.64,17381.8,6145.4,77.7
base/node,https://github.com/base/node,Go,68613,2023-02-01T13:55:02Z,0,3,160.0,3.002222222222222,750.10375,75,0.2216,63,0.0,1,1.0,1,0.94,0,10.275,0.0874,16.16,0.03,0,0.4269,0.0,176,8800,14080,88,938.7,225.2,23.55,3767.4,1290.4,70.4
prometheus/prometheus,https://github.com/prometheus/prometheus,Go,63756,2012-11-24T11:14:12Z,0,3,160.01,1.9508333333333334,29.22277777777778,349,0.1263,81,0.0,1,1.5,1,0.74,0,12.309,-2.1154,9.94,0.01,0,0.1265,0.0,13305,665250,1064400,6652,70960.0,680.8,2209.76,353561.8,106396.6,83.7
traefik/traefik,https://github.com/traefik/traefik,Go,62853,2015-09-13T19:04:02Z,0,3,160.03,14.862222222222222,97.77583333333334,417,0.2445,90,0.0,1,1.0,1,0.8,0,13.44,0.4196,6.15,0.0,0,0.0767,0.0,5243,262150,419440,2621,27962.7,6197.5,831.17,132986.8,42438.0,82.6
minio/minio,https://github.com/minio/minio,Go,60792,2015-01-14T19:23:58Z,70,3,160.0,0.9033333333333333,2.7594444444444446,409,0.4395,15,0.0,1,1.0,1,0.84,0,14.65,-0.0315,11.87,0.21,0,0.0104,0.0,9882,494100,790560,4941,52704.0,369.5,1617.03,258724.1,78207.7,74.8
usememos/memos,https://github.com/usememos/memos,Go,59147,2021-12-08T15:30:18Z,0,3,160.04,0.7577777777777778,83.27277777777778,348,0.6101,47,0.0,1,1.0,1,0.94,0,8.164,-0.0769,18.77,0.22,0,0.4425,0.0,4129,206450,330320,2064,22021.3,263.7,646.8,103487.3,31787.2,78.9
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,Go,57881,2022-07-05T06:06:21Z,0,3,160.07,0.9845833333333334,0.6794444444444445,44,0.9754,32,0.0,1,0.0,1,0.96,1,11.735,1.3007,5.79,0.35,0,0.31,0.0,2235,111750,178800,1117,11920.0,43.3,407.43,65188.7,19010.7,80.2
rclone/rclone,https://github.com/rclone/rclone,Go,56829,2014-03-16T16:19:57Z,0,3,160.02,19.478055555555557,169.6988888888889,409,0.6942,16,0.0,1,1.0,1,0.9,0,14.666,-0.3392,23.47,0.13,0,0.0209,0.0,8861,443050,708880,4430,47258.7,7966.5,1442.07,230731.3,72165.6,78.1
go-gitea/gitea,https://github.com/go-gitea/gitea,Go,55086,2016-11-01T02:13:26Z,0,3,160.0,5.228055555555556,3.1013888888888888,396,0.1411,94,0.0,1,2.0,1,0.88,1,13.838,1.2832,11.55,0.23,108,0.1797,0.0,18676,933800,1494080,9338,99605.3,2070.3,3154.84,504774.9,151378.7,88.6
wagoodman/dive,https://github.com/wagoodman/dive,Go,53822,2018-05-13T15:44:01Z,130,3,160.0,27.513333333333332,293.16791666666666,58,0.7075,85,0.0,1,0.0,1,0.92,0,14.473,0.0,185.56,0.08,0,0.0063,0.0,482,24100,38560,241,2570.7,1595.8,81.38,13020.6,4368.2,59.3
etcd-io/etcd,https://github.com/etcd-io/etcd,Go,51628,2013-07-06T21:57:21Z,0,3,160.0,29.95638888888889,318.0602777777778,374,0.2071,77,0.0,1,1.0,1,0.46,1,11.934,-0.958,17.21,0.17,0,0.0416,0.0,21140,1057000,1691200,10570,112746.7,11203.7,3593.27,574923.4,174719.1,87.9
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,Go,50996,2013-12-26T13:05:46Z,0,3,160.0,13.404583333333335,115.475,443,0.2579,56,0.0,1,2.0,1,0.8,1,14.715,0.4196,19.48,0.07,0,0.1644,0.0,15318,765900,1225440,7659,81696.0,5938.2,2562.08,409932.1,124615.9,87.4
jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,Go,50783,2019-05-18T08:53:50Z,5,3,160.19,11.075416666666666,257.1175,77,0.6311,80,0.0,1,1.0,1,0.8,1,11.633,0.2797,109.09,0.53,0,0.0158,0.0,835,41750,66800,417,4453.3,852.8,120.75,19320.6,6346.6,80.8
AlistGo/alist,https://github.com/AlistGo/alist,Go,49353,2020-12-23T17:40:29Z,3,3,160.07,8.009166666666667,193.39916666666667,178,0.6613,53,0.0,1,2.0,1,0.78,0,8.009,0.2238,18.23,0.33,0,0.0049,0.0,2167,108350,173360,1083,11557.3,1425.6,328.69,52589.8,16724.3,78.1
hashicorp/terraform,https://github.com/hashicorp/terraform,Go,48241,2014-03-13T22:25:48Z,0,3,160.01,4.600555555555555,26.302222222222223,349,0.1367,94,0.0,1,1.0,1,0.8,0,17.226,-3.2587,7.89,0.0,0,0.0032,0.0,30185,1509250,2414800,15092,160986.7,1605.6,5222.89,835661.6,248107.4,83.6
