full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,C++,194858,2015-11-07T01:19:20Z,0,4,160.0,9.337777777777777,0.0,412,0.3745,39,0.0,1,0.0,1,0.86,0,10.719,8.3392,48.1,0.0,0,0.4417,0.0,153730,7686500,12298400,76865,819893.3,3847.2,28855.35,4616855.6,1334471.9,81.3
f/prompts.chat,https://github.com/f/prompts.chat,HTML,160552,2022-12-05T13:54:13Z,0,4,160.04,2.7527777777777778,39.66555555555556,255,0.3813,67,0.0,1,1.0,1,0.8,0,12.996,0.8322,0.0,0.12,77,0.5155,0.0,4251,212550,340080,2125,22672.0,702.0,666.88,106700.2,32886.6,81.2
huggingface/transformers,https://github.com/huggingface/transformers,Python,159870,2018-10-29T13:56:00Z,0,4,160.0,22.592777777777776,36.416805555555555,437,0.0779,72,0.0,1,2.0,1,0.56,1,10.483,-1.8636,10.07,0.0,114,0.0007,0.0,17912,895600,1432960,8956,95530.7,9873.0,3019.47,483115.5,147350.4,89.2
pytorch/pytorch,https://github.com/pytorch/pytorch,Python,99411,2016-08-13T05:26:41Z,0,4,160.0,1.2583333333333333,21.76763888888889,320,0.0678,89,0.0,1,0.0,1,0.5,1,11.467,4.4371,28.54,0.0,7,0.3746,0.0,73606,3680300,5888480,36803,392565.3,402.7,13316.45,2130632.8,622530.0,89.3
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,Jupyter Notebook,91353,2023-07-23T18:15:57Z,8,4,160.0,0.0,0.0,59,0.8397,0,0.0,1,1.0,1,1.0,0,11.971,-0.0664,0.0,0.34,14,0.2462,0.0,1042,52100,83360,521,5557.3,0.0,182.84,29254.5,8629.6,75.9
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,Jupyter Notebook,85441,2021-03-03T01:34:05Z,0,4,160.0,4.216527777777777,72.63347222222222,140,0.335,90,0.0,1,1.0,1,0.68,0,11.286,0.7273,0.0,0.37,12,0.1825,0.0,2146,107300,171680,1073,11445.3,590.3,325.34,52054.8,16310.7,81.7
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,,80464,2016-10-21T17:02:11Z,12,4,160.31,11.505416666666665,0.0,112,0.4836,80,0.0,1,1.0,1,0.0,0,7.311,-0.0629,0.0,0.34,0,0.0,0.0,519,25950,41520,259,2768.0,1288.6,73.29,11726.7,4115.9,71.9
mlabonne/llm-course,https://github.com/mlabonne/llm-course,,78650,2023-06-17T22:16:25Z,78,4,160.0,28.37236111111111,43.789722222222224,3,0.9792,2,0.0,1,1.0,0,0.0,0,5.08,-0.0769,0.0,0.4271,0,0.0,0.0,96,4800,7680,48,512.0,85.1,14.95,2392.3,760.0,32.4
netdata/netdata,https://github.com/netdata/netdata,C,78584,2013-06-17T18:39:10Z,0,4,160.0,1.6047222222222222,1.8619444444444446,402,0.3167,67,0.0,1,2.0,1,0.6,1,10.831,-0.3077,11.49,0.05,0,0.4462,0.0,20922,1046100,1673760,10461,111584.0,645.1,3554.37,568699.8,169725.5,86.8
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,C++,73715,2014-08-12T18:04:59Z,3,4,160.02,8.55,22.70125,196,0.3723,73,0.0,1,1.0,1,1.0,1,12.984,-0.451,88.14,0.43,0,0.0465,0.0,6451,322550,516080,3225,34405.3,1675.8,1033.33,165332.5,50771.9,86.0
binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,,70570,2017-12-27T03:46:40Z,110,4,160.17,5.818333333333333,0.0,28,0.9546,37,0.0,1,2.0,1,1.0,0,10.547,0.0,0.0,0.64,0,0.0,0.0,947,47350,75760,473,5050.7,162.9,165.38,26460.5,7866.3,65.5
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,Python,66457,2020-12-20T10:46:38Z,0,4,160.03,10.29875,36.926944444444445,255,0.189,78,0.0,1,1.0,1,0.74,0,7.869,0.0,29.16,0.15,0,0.0,0.0,5477,273850,438160,2738,29210.7,2626.2,870.16,139225.8,43238.4,83.1
